"id","name","lon","lat","type"
8505038,"Stein am Rhein,Hofwisenstrasse",8.85297,47.65187,"Bus"
8500320,"Stein-Säckingen",7.94885,47.5416,"Zug"
8572748,"Stein-Säckingen, Bahnhof",7.94994,47.54142,"Bus"
8516271,"Steinach",9.442,47.50096,"Zug"
8502615,"Steinach, Bahnhof",9.44161,47.50204,"Bus"
8502533,"Steinach, Bifang",9.43516,47.50145,"Bus"
8583788,"Steinach, Hafen",9.44709,47.50163,"Bus"
8594859,"Steinach, Kirche",9.43992,47.50323,"Bus"
8580868,"Steinach, Obersteinach Käserei",9.43609,47.49267,"Bus"
8506264,"Steinach, Post",9.44185,47.50247,"Bus"
8580869,"Steinach, Schule",9.43978,47.49908,"Bus"
8530405,"Steinboden",8.77107,47.01457,"Sesselbahn"
8531344,"Steinböden",9.1326,46.93347,"Sesselbahn"
8506397,"Steinebrunn",9.34985,47.53154,"Zug"
8505057,"Steinebrunn, Bahnhof",9.34984,47.53173,"Bus"
8587217,"Steinebrunn, Dorf",9.34329,47.53411,"Bus"
8587218,"Steinebrunn, Erdhausen",9.35805,47.53252,"Bus"
8506275,"Steinegg",9.43079,47.32011,"Zug"
8579831,"Steinegg, Bahnhof",9.43019,47.32068,"Bus"
8587221,"Steineloh, Sternen",9.4043,47.52181,"Bus"
8505005,"Steinen",8.60745,47.04767,"Zug"
8577480,"Steinen, Adelboden",8.62142,47.06162,"Bus"
8587532,"Steinen, Bahnhof",8.60746,47.04805,"Bus"
8511076,"Steinen, Buchenhof",8.59553,47.04717,"Bus"
8587959,"Steinen, Dorfbrücke",8.61389,47.04933,"Bus"
8588117,"Steinen, Hausmatt",8.61568,47.04861,"Bus"
8511077,"Steinen, Müsigricht",8.59967,47.04873,"Bus"
8588118,"Steinen, Oelberg",8.62349,47.04334,"Bus"
8588115,"Steinen, Rest. Löwen",8.61108,47.04925,"Bus"
8577481,"Steinen, Rigiblick",8.62343,47.06583,"Bus"
8577479,"Steinen, Spiegelberg",8.62154,47.057,"Bus"
8577478,"Steinen, Spiegelberg Schlag",8.62599,47.05345,"Bus"
8588116,"Steinen, Wyler",8.62182,47.04627,"Bus"
8503280,"Steinerberg",8.58528,47.05221,"Zug"
8591763,"Steinerberg, Chornacher",8.59182,47.05699,"Bus"
8591764,"Steinerberg, Diezigen",8.58121,47.05355,"Bus"
8591762,"Steinerberg, Husmatt",8.58662,47.05548,"Bus"
8591765,"Steinerberg, St. Anna",8.58406,47.05306,"Bus"
8506792,"Steinfluh",9.29007,47.27305,"Bus"
8508877,"Steingletscher, Susten",8.42749,46.73113,"Bus"
8531333,"Steinhaus",9.51182,46.74674,"Sesselbahn"
8505748,"Steinhaus, Dorfplatz",8.17785,46.42263,"Bus"
8502227,"Steinhausen",8.47844,47.19458,"Zug"
8518459,"Steinhausen Rigiblick",8.4797,47.18786,"Zug"
8595086,"Steinhausen, Bahnhof",8.47852,47.19577,"Bus"
8593435,"Steinhausen, Birkenhalde",8.48151,47.19655,"Bus"
8593436,"Steinhausen, Eichholz",8.48854,47.1915,"Bus"
8587377,"Steinhausen, Hinterberg Bhf",8.47612,47.19484,"Bus"
8593437,"Steinhausen, Oele",8.4864,47.19363,"Bus"
8595087,"Steinhausen, Rigiweg",8.48077,47.19194,"Bus"
8595088,"Steinhausen, Sennweid",8.48429,47.18942,"Bus"
8595393,"Steinhausen, Sumpfstrasse",8.48904,47.18664,"Bus"
8595394,"Steinhausen, Turmstrasse",8.4816,47.18705,"Bus"
8587378,"Steinhausen, Zentrum",8.48409,47.19676,"Bus"
8587515,"Steinhausen, Zugerland EKZ",8.47673,47.19171,"Bus"
8500465,"Steinhof SO",7.68704,47.1613,"Bus"
8508053,"Steinibach",7.45741,46.98442,"Zug"
8589053,"Steinibach BE, Aarestrasse",7.45638,46.98527,"Bus"
8589054,"Steinibach BE, Aarmattweg",7.45482,46.98971,"Bus"
8576982,"Steinibach, Bahnhof",7.45724,46.98336,"Bus"
8505749,"Steinmatten",8.15338,46.37145,"Bus"
8503316,"Steinmaur",8.44685,47.48999,"Zug"
8573275,"Steinmaur, Bahnhof",8.4481,47.48951,"Bus"
8573274,"Steinmaur, Gemeindehaus",8.44851,47.49355,"Bus"
8573272,"Steinmaur, Heitlig",8.45372,47.50844,"Bus"
8573273,"Steinmaur, Obersteinmaur",8.45474,47.49882,"Bus"
8583692,"Steinmaur, Sünikon",8.43739,47.49075,"Bus"
8576907,"Stels, Crals",9.72824,46.96014,"Bus"
8574752,"Stels, Hof de Planis",9.7146,46.96581,"Bus"
8574753,"Stels, Mottis",9.72596,46.96221,"Bus"
8574750,"Stels, Prodavos",9.7103,46.9671,"Bus"
8506374,"Sternen bei Teufen",9.37483,47.38948,"Zug"
8503627,"Sternenberg, Gfell",8.93306,47.38219,"Bus"
8573282,"Sternenberg, Höchstock",8.90987,47.37958,"Bus"
8581688,"Sternenberg, Kirche",8.91154,47.38721,"Bus"
8573283,"Sternenberg, Rossweid",8.91499,47.385,"Bus"
8581687,"Sternenberg, Sunnenbad",8.90618,47.3897,"Bus"
8503147,"Stettbach",8.59614,47.39721,"Zug"
8591065,"Stettbach, Bahnhof",8.59613,47.39727,"Bus_Tram"
8572541,"Stetten AG, Dorfplatz",8.30777,47.39994,"Bus"
8572565,"Stetten AG, Dörndler",8.31141,47.40319,"Bus"
8572542,"Stetten AG, Klosterfeld",8.30484,47.39702,"Bus"
8502897,"Stetten AG, Künterstrasse",8.31004,47.4001,"Bus"
8572540,"Stetten AG, Mellingerstrasse",8.30374,47.40299,"Bus"
8573482,"Stetten SH, Braati",8.66222,47.73754,"Bus"
8579931,"Stetten SH, Rietwis",8.65687,47.73674,"Bus"
8591863,"Stetten SH, Sonne",8.66319,47.74041,"Bus"
8573483,"Stetten SH, Staaringelacker",8.66315,47.74311,"Bus"
8503970,"Stetten SH, Vorderdorf",8.66134,47.73975,"Bus"
8573628,"Stettfurt, Dorfzentrum",8.95318,47.5245,"Bus"
8581615,"Stettfurt, Freudenberg",8.95177,47.53198,"Bus"
8581616,"Stettfurt, Köll",8.95239,47.53495,"Bus"
